Drug,CYP***,Action,Species,Database,refence_1,reference_2,reference_3,Strength
Dexamethasone (JP17/USP/INN), 3A7, substrate, Not Specified, KEGG, , , , 
Dexamethasone sodium phosphate (JAN/USP), 3A7, substrate, Not Specified, KEGG, , , , 
Dexamethasone metasulfobenzoate sodium (JAN), 3A7, substrate, Not Specified, KEGG, , , , 
Dexamethasone palmitate (JAN), 3A7, substrate, Not Specified, KEGG, , , , 
Dexamethasone dipropionate (USAN), 3A7, substrate, Not Specified, KEGG, , , , 
Dexamethasone valerate (JAN), 3A7, substrate, Not Specified, KEGG, , , , 
Dexamethasone acetate (JAN/USP), 3A7, substrate, Not Specified, KEGG, , , , 
Dexamethasone acefurate (USAN/INN), 3A7, substrate, Not Specified, KEGG, , , , 
Dexamethasone beloxil (USAN), 3A7, substrate, Not Specified, KEGG, , , , 
Dexamethasone cipecilate (JAN/INN), 3A7, substrate, Not Specified, KEGG, , , , 
Dexamethasone 21-acetate, 3A7, substrate, Not Specified, KEGG, , , , 
Dexamethasone isonicotinate, 3A7, substrate, Not Specified, KEGG, , , , 
Dexamethasone sodium hemisulfate, 3A7, substrate, Not Specified, KEGG, , , , 
Dexamethasone 21-tebutate, 3A7, substrate, Not Specified, KEGG, , , , 
Dexamethasone 21-valerate, 3A7, substrate, Not Specified, KEGG, , , , 
Dexamethasone phenylpropionate, 3A7, substrate, Not Specified, KEGG, , , , 
Dexamethasone phosphate, 3A7, substrate, Not Specified, KEGG, , , , 
Dexchlorpheniramine (INN), 3A7, substrate, Not Specified, KEGG, , , , 
Dexchlorpheniramine maleate (USP), 3A7, substrate, Not Specified, KEGG, , , , 
Dexpropranolol hydrochloride (USAN), 3A7, substrate, Not Specified, KEGG, , , , 
Domperidone (JP17/USAN/INN), 3A7, substrate, Not Specified, KEGG, , , , 
Domperidone maleate, 3A7, substrate, Not Specified, KEGG, , , , 
Diltiazem (INN), 3A7, substrate, Not Specified, KEGG, , , , 
Diltiazem hydrochloride (JP17/USP), 3A7, substrate, Not Specified, KEGG, , , , 
Diltiazem malate (USAN), 3A7, substrate, Not Specified, KEGG, , , , 
Eplerenone (JP17/USAN/INN), 3A7, substrate, Not Specified, KEGG, , , , 
Erythromycin (JP17/USP/INN), 3A7, substrate, Not Specified, KEGG, , , , 
Erythromycin estolate (USP), 3A7, substrate, Not Specified, KEGG, , , , 
Erythromycin ethylsuccinate (JP17/USP), 3A7, substrate, Not Specified, KEGG, , , , 
Erythromycin lactobionate (JP17/USP), 3A7, substrate, Not Specified, KEGG, , , , 
Erythromycin stearate (JP17/USP), 3A7, substrate, Not Specified, KEGG, , , , 
Erythromycin acistrate (USAN), 3A7, substrate, Not Specified, KEGG, , , , 
Erythromycin gluceptate (USP), 3A7, substrate, Not Specified, KEGG, , , , 
Erythromycin propionate (USAN), 3A7, substrate, Not Specified, KEGG, , , , 
Erythromycin salnacedin (USAN), 3A7, substrate, Not Specified, KEGG, , , , 
Erythromycin thiocyanate, 3A7, substrate, Not Specified, KEGG, , , , 
Erythromycin stinoprate (INN), 3A7, substrate, Not Specified, KEGG, , , , 
Felodipine (JAN/USP/INN), 3A7, substrate, Not Specified, KEGG, , , , 
Fentanyl (JAN/USAN/INN), 3A7, substrate, Not Specified, KEGG, , , , 
Fentanyl citrate (JP17/USP), 3A7, substrate, Not Specified, KEGG, , , , 
Haloperidol (JP17/USP/INN), 3A7, substrate, Not Specified, KEGG, , , , 
Haloperidol decanoate (JAN/USAN), 3A7, substrate, Not Specified, KEGG, , , , 
Haloperidol lactate, 3A7, substrate, Not Specified, KEGG, , , , 
Hydrocortisone (JP17/USP/INN), 3A7, substrate, Not Specified, KEGG, , , , 
Hydrocortisone acetate (JP17/USP), 3A7, substrate, Not Specified, KEGG, , , , 
Hydrocortisone cypionate, 3A7, substrate, Not Specified, KEGG, , , , 
Hydrocortisone sodium phosphate (JP17/USP), 3A7, substrate, Not Specified, KEGG, , , , 
Hydrocortisone sodium succinate (JP17/USP), 3A7, substrate, Not Specified, KEGG, , , , 
Hydrocortisone succinate (JP17), 3A7, substrate, Not Specified, KEGG, , , , 
Hydrocortisone butyrate (JP17/USP), 3A7, substrate, Not Specified, KEGG, , , , 
Hydrocortisone probutate (USAN), 3A7, substrate, Not Specified, KEGG, , , , 
Hydrocortisone valerate (USP), 3A7, substrate, Not Specified, KEGG, , , , 
Hydrocortisone hemisuccinate (USP), 3A7, substrate, Not Specified, KEGG, , , , 
Hydrocortisone aceponate (INN), 3A7, substrate, Not Specified, KEGG, , , , 
Hydrocortisone caproate (JAN), 3A7, substrate, Not Specified, KEGG, , , , 
Hydroquinine hydrobromide, 3A7, substrate, Not Specified, KEGG, , , , 
Indinavir (USAN), 3A7, substrate, Not Specified, KEGG, , , , 
Indinavir sulfate (USAN), 3A7, substrate, Not Specified, KEGG, , , , 
Indinavir sulfate ethanolate (JAN), 3A7, substrate, Not Specified, KEGG, , , , 
Irinotecan (INN), 3A7, substrate, Not Specified, KEGG, , , , 
Irinotecan hydrochloride (USAN), 3A7, substrate, Not Specified, KEGG, , , , 
Lercanidipine (INN), 3A7, substrate, Not Specified, KEGG, , , , 
Lercanidipine hydrochloride (JAN/USAN), 3A7, substrate, Not Specified, KEGG, , , , 
Lovastatin (USP/INN), 3A7, substrate, Not Specified, KEGG, , , , 
Midazolam (JAN/USP/INN), 3A7, substrate, Not Specified, KEGG, , , , 
Midazolam hydrochloride (USAN), 3A7, substrate, Not Specified, KEGG, , , , 
Midazolam maleate (USAN), 3A7, substrate, Not Specified, KEGG, , , , 
Nateglinide (JP17/USAN/INN), 3A7, substrate, Not Specified, KEGG, , , , 
Nitrendipine (JP17/USAN/INN), 3A7, substrate, Not Specified, KEGG, , , , 
Pimozide (JP17/USP/INN), 3A7, substrate, Not Specified, KEGG, , , , 
Propranolol (INN), 3A7, substrate, Not Specified, KEGG, , , , 
Propranolol hydrochloride (JP17/USP), 3A7, substrate, Not Specified, KEGG, , , , 
Quetiapine (INN), 3A7, substrate, Not Specified, KEGG, , , , 
Quetiapine fumarate (JP17/USAN), 3A7, substrate, Not Specified, KEGG, , , , 
Quinine (BAN), 3A7, substrate, Not Specified, KEGG, , , , 
Quinine hydrochloride hydrate (JP17), 3A7, substrate, Not Specified, KEGG, , , , 
Quinine sulfate (USP), 3A7, substrate, Not Specified, KEGG, , , , 
Quinine ascorbate (USAN), 3A7, substrate, Not Specified, KEGG, , , , 
Quinine dihydrochloride, 3A7, substrate, Not Specified, KEGG, , , , 
Salmeterol (USAN/INN), 3A7, substrate, Not Specified, KEGG, , , , 
Salmeterol xinafoate (JAN/USAN), 3A7, substrate, Not Specified, KEGG, , , , 
Saquinavir (JAN/USP/INN), 3A7, substrate, Not Specified, KEGG, , , , 
Saquinavir mesylate (USP), 3A7, substrate, Not Specified, KEGG, , , , 
Sildenafil (INN), 3A7, substrate, Not Specified, KEGG, , , , 
Sildenafil citrate (JAN/USAN), 3A7, substrate, Not Specified, KEGG, , , , 
Tacrolimus (INN), 3A7, substrate, Not Specified, KEGG, , , , 
Tacrolimus (USAN/INN), 3A7, substrate, Not Specified, KEGG, , , , 
Telithromycin (JAN/USAN/INN), 3A7, substrate, Not Specified, KEGG, , , , 
Terfenadine (JAN/USAN/INN), 3A7, substrate, Not Specified, KEGG, , , , 
Testosterone (JAN/USP), 3A7, substrate, Not Specified, KEGG, , , , 
Testosterone cypionate (USP), 3A7, substrate, Not Specified, KEGG, , , , 
Testosterone enanthate (JP17/USP), 3A7, substrate, Not Specified, KEGG, , , , 
Testosterone propionate (JP17/USP), 3A7, substrate, Not Specified, KEGG, , , , 
Testosterone ketolaurate (USAN/INN), 3A7, substrate, Not Specified, KEGG, , , , 
Testosterone phenylacetate (USAN), 3A7, substrate, Not Specified, KEGG, , , , 
Testosterone undecanoate (USAN), 3A7, substrate, Not Specified, KEGG, , , , 
Testosterone decanoate, 3A7, substrate, Not Specified, KEGG, , , , 
Testosterone phenylpropionate, 3A7, substrate, Not Specified, KEGG, , , , 
Trazodone (INN), 3A7, substrate, Not Specified, KEGG, , , , 
Trazodone hydrochloride (JAN/USP), 3A7, substrate, Not Specified, KEGG, , , , 
Verapamil (USAN/INN), 3A7, substrate, Not Specified, KEGG, , , , 
Verapamil hydrochloride (JP17/USP), 3A7, substrate, Not Specified, KEGG, , , , 
Ziprasidone (INN), 3A7, substrate, Not Specified, KEGG, , , , 
Ziprasidone hydrochloride (USAN), 3A7, substrate, Not Specified, KEGG, , , , 
Ziprasidone mesylate (USAN), 3A7, substrate, Not Specified, KEGG, , , , 
Zolpidem (INN), 3A7, substrate, Not Specified, KEGG, , , , 
Zolpidem tartrate (JP17/USAN), 3A7, substrate, Not Specified, KEGG, , , , 
Zaleplon (JAN/USAN/INN), 3A7, substrate, Not Specified, KEGG, , , , 
Alfentanil (INN), 3A, substrate, Not Specified, KEGG, , , , Narrow & Sensitive
Alfentanil hydrochloride (USP), 3A, substrate, Not Specified, KEGG, , , , Narrow & Sensitive
Alprazolam (JP17/USP/INN), 3A, substrate, Not Specified, KEGG, , , , 
Aprepitant (JAN/USAN/INN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Fosaprepitant dimeglumine (USAN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Astemizole (JAN/USP/INN), 3A, substrate, Not Specified, KEGG, , , , Narrow
Amobarbital (JP17/INN), 3A, substrate, Not Specified, KEGG, , , , 
Amobarbital sodium (JAN/USP), 3A, substrate, Not Specified, KEGG, , , , 
Atorvastatin (INN), 3A, substrate, Not Specified, KEGG, , , , 
Atorvastatin calcium anhydorous, 3A, substrate, Not Specified, KEGG, , , , 
Atorvastatin calcium (USP), 3A, substrate, Not Specified, KEGG, , , , 
Azelnidipine (JP17/INN), 3A, substrate, Not Specified, KEGG, , , , 
Chlorpromazine hydrochloride - promethazine hydrochloride - phenobarbital mixt, 3A, substrate, Not Specified, KEGG, , , , 
Blonanserin (JAN/INN), 3A, substrate, Not Specified, KEGG, , , , 
Budesonide (JAN/USAN/INN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Buspirone (INN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Buspirone hydrochloride (USP), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Cisapride (USAN/INN), 3A, substrate, Not Specified, KEGG, , , , Narrow
Cisapride (JAN), 3A, substrate, Not Specified, KEGG, , , , Narrow
Colchicine (JP17/USP), 3A, substrate, Not Specified, KEGG, , , , 
Conivaptan (INN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Conivaptan hydrochloride (JAN/USAN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Cyclosporine (USP), 3A, substrate, Not Specified, KEGG, , , , Narrow
Dihydroergotamine (INN), 3A, substrate, Not Specified, KEGG, , , , Narrow
Dihydroergotamine mesylate (USP), 3A, substrate, Not Specified, KEGG, , , , Narrow
Dihydroergotamine tartrate, 3A, substrate, Not Specified, KEGG, , , , Narrow
Digitoxin (JP17/USP/INN), 3A, substrate, Not Specified, KEGG, , , , 
Darifenacin (USAN/INN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Darifenacin hydrobromide (JAN/USAN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Darunavir (USAN/INN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Darunavir ethanolate (JAN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Dasatinib (INN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Dasatinib (USAN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Dronedarone (INN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Dronedarone hydrochloride (USAN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Eletriptan (INN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Eletriptan hydrobromide (JAN/USAN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Eplerenone (JP17/USAN/INN), 3A, substrate, Not Specified, KEGG, , , , 
Ergotamine (INN), 3A, substrate, Not Specified, KEGG, , , , Narrow
Ergotamine tartrate (JP17/USP), 3A, substrate, Not Specified, KEGG, , , , Narrow
Everolimus (JAN/USAN/INN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Felodipine (JAN/USP/INN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Fentanyl (JAN/USAN/INN), 3A, substrate, Not Specified, KEGG, , , , Narrow
Fentanyl citrate (JP17/USP), 3A, substrate, Not Specified, KEGG, , , , Narrow
Fluticasone (INN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Fluticasone propionate (JAN/USAN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Fluticasone furoate (JAN/USAN/INN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Indinavir, 3A, substrate, Not Specified, KEGG, , , , Sensitive
Indinavir (USAN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Indinavir sulfate (USAN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Indinavir sulfate ethanolate (JAN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Lopinavir (JAN/USAN/INN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Lovastatin (USP/INN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Lurasidone hydrochloride (JAN/USAN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Maraviroc (JAN/INN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Midazolam (JAN/USP/INN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Midazolam hydrochloride (USAN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Midazolam maleate (USAN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Mefloquine hydrochloride (JP17/USP), 3A, substrate, Not Specified, KEGG, , , , 
Nisoldipine (JAN/USAN/INN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Prednisolone (JP17/USP/INN), 3A, substrate, Not Specified, KEGG, , , , 
Phenobarbital (JP17/USP/INN), 3A, substrate, Not Specified, KEGG, , , , 
Phenobarbital sodium (JAN/USP/INN), 3A, substrate, Not Specified, KEGG, , , , 
Phenobarbital diethylamine, 3A, substrate, Not Specified, KEGG, , , , 
Phenytoin (JP17/USP/INN), 3A, substrate, Not Specified, KEGG, , , , 
Phenytoin sodium (USP), 3A, substrate, Not Specified, KEGG, , , , 
Phenytoin - phenobarbital mixt, 3A, substrate, Not Specified, KEGG, , , , 
Phenytoin - phenobarbital - caffeine and sodium benzoate, 3A, substrate, Not Specified, KEGG, , , , 
Pimozide (JP17/USP/INN), 3A, substrate, Not Specified, KEGG, , , , Narrow
Proxyphylline - ephedrine hydrochloride - phenobarbital mixt, 3A, substrate, Not Specified, KEGG, , , , 
Quetiapine (INN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Quetiapine fumarate (JP17/USAN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Quinidine (BAN), 3A, substrate, Not Specified, KEGG, , , , Narrow
Quinidine gluconate (USP), 3A, substrate, Not Specified, KEGG, , , , Narrow
Quinidine polygalacturonate, 3A, substrate, Not Specified, KEGG, , , , Narrow
Quinidine sulfate (USP), 3A, substrate, Not Specified, KEGG, , , , Narrow
Quinidine phenylethylbarbiturate, 3A, substrate, Not Specified, KEGG, , , , Narrow
Rilpivirine (USAN/INN), 3A, substrate, Not Specified, KEGG, , , , 
Rilpivirine hydrochloride (JAN/USAN), 3A, substrate, Not Specified, KEGG, , , , 
Rivaroxaban (JAN/USAN/INN), 3A, substrate, Not Specified, KEGG, , , , 
Rosuvastatin (INN), 3A, substrate, Not Specified, KEGG, , , , 
Rosuvastatin calcium (JAN/USAN), 3A, substrate, Not Specified, KEGG, , , , 
Saquinavir (JAN/USP/INN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Saquinavir mesylate (USP), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Sildenafil (INN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Sildenafil citrate (JAN/USAN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Simvastatin (JP17/USP/INN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Sirolimus (JAN/USAN/INN), 3A, substrate, Not Specified, KEGG, , , , Narrow & Sensitive
Tacrolimus (INN), 3A, substrate, Not Specified, KEGG, , , , Narrow
Tacrolimus (USAN/INN), 3A, substrate, Not Specified, KEGG, , , , Narrow
Tadalafil (JAN/USAN/INN), 3A, substrate, Not Specified, KEGG, , , , 
Terfenadine (JAN/USAN/INN), 3A, substrate, Not Specified, KEGG, , , , Narrow
Ticagrelor (USAN/INN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Tipranavir (INN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Tipranavir disodium (USAN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Tolvaptan (JAN/USAN/INN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Triazolam (JAN/USP/INN), 3A, substrate, Not Specified, KEGG, , , , 
Vardenafil (INN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Vardenafil dihydrochoride (USAN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Vardenafil hydrochloride hydrate (JAN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Vardenafil hydrochloride (USAN), 3A, substrate, Not Specified, KEGG, , , , Sensitive
Midazolam (JAN/USP/INN), 4B1, substrate, Not Specified, KEGG, , , , 
Midazolam hydrochloride (USAN), 4B1, substrate, Not Specified, KEGG, , , , 
Midazolam maleate (USAN), 4B1, substrate, Not Specified, KEGG, , , , 
